ID	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	SGB_id
MAG03298	666_1	0.05	average	ANImf	666	SGB666
MAG03299	707_2	0.05	average	ANImf	707	SGB707
MAG03300	182_2	0.05	average	ANImf	182	SGB182
MAG03301	675_1	0.05	average	ANImf	675	SGB675
MAG03302	407_1	0.05	average	ANImf	407	SGB407
MAG03303	402_1	0.05	average	ANImf	402	SGB402
MAG03304	464_2	0.05	average	ANImf	464	SGB464
MAG03305	199_1	0.05	average	ANImf	199	SGB199
MAG03306	731_1	0.05	average	ANImf	731	SGB731
MAG03307	203_1	0.05	average	ANImf	203	SGB203
MAG03308	274_1	0.05	average	ANImf	274	SGB274
MAG03309	748_1	0.05	average	ANImf	748	SGB748
MAG03310	796_0	0.05	average	ANImf	796	SGB796
MAG03311	567_1	0.05	average	ANImf	567	SGB567
MAG03312	27_1	0.05	average	ANImf	27	SGB27
MAG03313	223_1	0.05	average	ANImf	223	SGB223
MAG03314	711_1	0.05	average	ANImf	711	SGB711
MAG03315	667_1	0.05	average	ANImf	667	SGB667
MAG03316	315_1	0.05	average	ANImf	315	SGB315
MAG03317	36_1	0.05	average	ANImf	36	SGB36
MAG03318	332_1	0.05	average	ANImf	332	SGB332
MAG03319	330_0	0.05	average	ANImf	330	SGB330
MAG03320	578_0	0.05	average	ANImf	578	SGB578
MAG03321	605_1	0.05	average	ANImf	605	SGB605
MAG03322	609_3	0.05	average	ANImf	609	SGB609
MAG03323	732_1	0.05	average	ANImf	732	SGB732
MAG03324	202_1	0.05	average	ANImf	202	SGB202
MAG03325	308_1	0.05	average	ANImf	308	SGB308
MAG03326	49_2	0.05	average	ANImf	49	SGB49
MAG03327	30_1	0.05	average	ANImf	30	SGB30
MAG03328	516_1	0.05	average	ANImf	516	SGB516
MAG03329	413_1	0.05	average	ANImf	413	SGB413
MAG03330	256_1	0.05	average	ANImf	256	SGB256
MAG03331	55_1	0.05	average	ANImf	55	SGB55
MAG03332	586_1	0.05	average	ANImf	586	SGB586
MAG03333	714_1	0.05	average	ANImf	714	SGB714
MAG03334	279_1	0.05	average	ANImf	279	SGB279
MAG03335	169_1	0.05	average	ANImf	169	SGB169
MAG03336	305_1	0.05	average	ANImf	305	SGB305
MAG03337	739_4	0.05	average	ANImf	739	SGB739
MAG03338	199_1	0.05	average	ANImf	199	SGB199
MAG03339	405_1	0.05	average	ANImf	405	SGB405
MAG03340	333_2	0.05	average	ANImf	333	SGB333
MAG03341	257_1	0.05	average	ANImf	257	SGB257
MAG03342	262_2	0.05	average	ANImf	262	SGB262
MAG03343	772_1	0.05	average	ANImf	772	SGB772
MAG03344	112_1	0.05	average	ANImf	112	SGB112
MAG03345	239_1	0.05	average	ANImf	239	SGB239
MAG03346	843_3	0.05	average	ANImf	843	SGB843
MAG03347	574_2	0.05	average	ANImf	574	SGB574
MAG03348	261_1	0.05	average	ANImf	261	SGB261
MAG03349	251_1	0.05	average	ANImf	251	SGB251
MAG03350	675_1	0.05	average	ANImf	675	SGB675
MAG03351	110_2	0.05	average	ANImf	110	SGB110
MAG03352	84_1	0.05	average	ANImf	84	SGB84
MAG03353	307_1	0.05	average	ANImf	307	SGB307
MAG03354	643_1	0.05	average	ANImf	643	SGB643
MAG03355	642_1	0.05	average	ANImf	642	SGB642
MAG03356	171_1	0.05	average	ANImf	171	SGB171
MAG03357	508_0	0.05	average	ANImf	508	SGB508
MAG03358	225_1	0.05	average	ANImf	225	SGB225
MAG03359	213_1	0.05	average	ANImf	213	SGB213
MAG03360	511_2	0.05	average	ANImf	511	SGB511
MAG03361	204_1	0.05	average	ANImf	204	SGB204
MAG03362	689_1	0.05	average	ANImf	689	SGB689
MAG03363	642_1	0.05	average	ANImf	642	SGB642
MAG03364	40_1	0.05	average	ANImf	40	SGB40
MAG03365	712_1	0.05	average	ANImf	712	SGB712
MAG03366	783_1	0.05	average	ANImf	783	SGB783
MAG03367	202_2	0.05	average	ANImf	202	SGB202
MAG03368	239_1	0.05	average	ANImf	239	SGB239
MAG03369	666_1	0.05	average	ANImf	666	SGB666
MAG03370	237_1	0.05	average	ANImf	237	SGB237
MAG03371	701_1	0.05	average	ANImf	701	SGB701
MAG03372	196_1	0.05	average	ANImf	196	SGB196
MAG03373	216_1	0.05	average	ANImf	216	SGB216
MAG03374	567_1	0.05	average	ANImf	567	SGB567
MAG03375	220_3	0.05	average	ANImf	220	SGB220
MAG03376	739_4	0.05	average	ANImf	739	SGB739
MAG03377	503_1	0.05	average	ANImf	503	SGB503
MAG03378	305_1	0.05	average	ANImf	305	SGB305
MAG03379	675_1	0.05	average	ANImf	675	SGB675
MAG03380	274_1	0.05	average	ANImf	274	SGB274
MAG03381	247_1	0.05	average	ANImf	247	SGB247
MAG03382	260_2	0.05	average	ANImf	260	SGB260
MAG03383	402_1	0.05	average	ANImf	402	SGB402
MAG03384	711_1	0.05	average	ANImf	711	SGB711
MAG03385	810_1	0.05	average	ANImf	810	SGB810
MAG03386	843_3	0.05	average	ANImf	843	SGB843
MAG03387	205_1	0.05	average	ANImf	205	SGB205
MAG03388	280_1	0.05	average	ANImf	280	SGB280
MAG03389	832_1	0.05	average	ANImf	832	SGB832
MAG03390	576_1	0.05	average	ANImf	576	SGB576
MAG03391	592_20	0.05	average	ANImf	592	SGB592
MAG03392	36_1	0.05	average	ANImf	36	SGB36
MAG03393	150_1	0.05	average	ANImf	150	SGB150
MAG03394	694_1	0.05	average	ANImf	694	SGB694
MAG03395	332_1	0.05	average	ANImf	332	SGB332
MAG03396	251_1	0.05	average	ANImf	251	SGB251
MAG03397	747_1	0.05	average	ANImf	747	SGB747
MAG03398	242_2	0.05	average	ANImf	242	SGB242
MAG03399	279_1	0.05	average	ANImf	279	SGB279
MAG03400	140_1	0.05	average	ANImf	140	SGB140
MAG03401	440_1	0.05	average	ANImf	440	SGB440
MAG03402	772_1	0.05	average	ANImf	772	SGB772
MAG03403	703_1	0.05	average	ANImf	703	SGB703
MAG03404	667_1	0.05	average	ANImf	667	SGB667
MAG03405	354_1	0.05	average	ANImf	354	SGB354
MAG03406	464_2	0.05	average	ANImf	464	SGB464
MAG03407	274_1	0.05	average	ANImf	274	SGB274
MAG03408	149_1	0.05	average	ANImf	149	SGB149
MAG03409	337_1	0.05	average	ANImf	337	SGB337
MAG03410	402_1	0.05	average	ANImf	402	SGB402
MAG03411	454_1	0.05	average	ANImf	454	SGB454
MAG03412	430_1	0.05	average	ANImf	430	SGB430
MAG03413	460_1	0.05	average	ANImf	460	SGB460
MAG03414	20_3	0.05	average	ANImf	20	SGB20
MAG03415	676_1	0.05	average	ANImf	676	SGB676
MAG03416	731_1	0.05	average	ANImf	731	SGB731
MAG03417	689_1	0.05	average	ANImf	689	SGB689
MAG03418	358_1	0.05	average	ANImf	358	SGB358
MAG03419	375_0	0.05	average	ANImf	375	SGB375
MAG03420	237_1	0.05	average	ANImf	237	SGB237
MAG03421	611_1	0.05	average	ANImf	611	SGB611
MAG03422	711_1	0.05	average	ANImf	711	SGB711
MAG03423	241_1	0.05	average	ANImf	241	SGB241
MAG03424	700_2	0.05	average	ANImf	700	SGB700
MAG03425	773_2	0.05	average	ANImf	773	SGB773
MAG03426	501_1	0.05	average	ANImf	501	SGB501
MAG03427	703_1	0.05	average	ANImf	703	SGB703
MAG03428	334_2	0.05	average	ANImf	334	SGB334
MAG03429	714_1	0.05	average	ANImf	714	SGB714
MAG03430	762_1	0.05	average	ANImf	762	SGB762
MAG03431	199_1	0.05	average	ANImf	199	SGB199
MAG03432	843_3	0.05	average	ANImf	843	SGB843
MAG03433	666_1	0.05	average	ANImf	666	SGB666
MAG03434	504_1	0.05	average	ANImf	504	SGB504
MAG03435	488_1	0.05	average	ANImf	488	SGB488
MAG03436	739_1	0.05	average	ANImf	739	SGB739
MAG03437	280_1	0.05	average	ANImf	280	SGB280
MAG03438	772_1	0.05	average	ANImf	772	SGB772
MAG03439	37_2	0.05	average	ANImf	37	SGB37
MAG03440	442_1	0.05	average	ANImf	442	SGB442
MAG03441	699_1	0.05	average	ANImf	699	SGB699
MAG03442	140_1	0.05	average	ANImf	140	SGB140
MAG03443	500_1	0.05	average	ANImf	500	SGB500
MAG03444	121_3	0.05	average	ANImf	121	SGB121
MAG03445	191_1	0.05	average	ANImf	191	SGB191
MAG03446	592_18	0.05	average	ANImf	592	SGB592
MAG03447	276_2	0.05	average	ANImf	276	SGB276
MAG03448	702_2	0.05	average	ANImf	702	SGB702
MAG03449	332_1	0.05	average	ANImf	332	SGB332
MAG03450	511_2	0.05	average	ANImf	511	SGB511
MAG03451	239_1	0.05	average	ANImf	239	SGB239
MAG03452	812_2	0.05	average	ANImf	812	SGB812
MAG03453	438_1	0.05	average	ANImf	438	SGB438
MAG03454	356_1	0.05	average	ANImf	356	SGB356
MAG03455	260_1	0.05	average	ANImf	260	SGB260
MAG03456	498_1	0.05	average	ANImf	498	SGB498
MAG03457	728_1	0.05	average	ANImf	728	SGB728
MAG03458	434_1	0.05	average	ANImf	434	SGB434
MAG03459	387_1	0.05	average	ANImf	387	SGB387
MAG03460	182_2	0.05	average	ANImf	182	SGB182
MAG03461	405_1	0.05	average	ANImf	405	SGB405
MAG03462	63_1	0.05	average	ANImf	63	SGB63
MAG03463	504_1	0.05	average	ANImf	504	SGB504
MAG03464	500_1	0.05	average	ANImf	500	SGB500
MAG03465	711_1	0.05	average	ANImf	711	SGB711
MAG03466	402_1	0.05	average	ANImf	402	SGB402
MAG03467	84_1	0.05	average	ANImf	84	SGB84
MAG03468	359_1	0.05	average	ANImf	359	SGB359
MAG03469	75_1	0.05	average	ANImf	75	SGB75
MAG03470	861_1	0.05	average	ANImf	861	SGB861
MAG03471	544_2	0.05	average	ANImf	544	SGB544
MAG03472	173_1	0.05	average	ANImf	173	SGB173
MAG03473	334_1	0.05	average	ANImf	334	SGB334
MAG03474	609_3	0.05	average	ANImf	609	SGB609
MAG03475	77_1	0.05	average	ANImf	77	SGB77
MAG03476	698_1	0.05	average	ANImf	698	SGB698
MAG03477	648_1	0.05	average	ANImf	648	SGB648
MAG03478	14_1	0.05	average	ANImf	14	SGB14
MAG03479	62_1	0.05	average	ANImf	62	SGB62
MAG03480	415_1	0.05	average	ANImf	415	SGB415
MAG03481	37_1	0.05	average	ANImf	37	SGB37
MAG03482	452_1	0.05	average	ANImf	452	SGB452
MAG03483	530_1	0.05	average	ANImf	530	SGB530
MAG03484	438_1	0.05	average	ANImf	438	SGB438
MAG03485	202_1	0.05	average	ANImf	202	SGB202
MAG03486	608_1	0.05	average	ANImf	608	SGB608
MAG03487	94_1	0.05	average	ANImf	94	SGB94
MAG03488	274_1	0.05	average	ANImf	274	SGB274
MAG03489	549_1	0.05	average	ANImf	549	SGB549
MAG03490	605_1	0.05	average	ANImf	605	SGB605
MAG03491	438_1	0.05	average	ANImf	438	SGB438
MAG03492	308_1	0.05	average	ANImf	308	SGB308
MAG03493	307_1	0.05	average	ANImf	307	SGB307
MAG03494	14_1	0.05	average	ANImf	14	SGB14
MAG03495	530_1	0.05	average	ANImf	530	SGB530
MAG03496	319_2	0.05	average	ANImf	319	SGB319
MAG03497	464_2	0.05	average	ANImf	464	SGB464
MAG03498	225_1	0.05	average	ANImf	225	SGB225
MAG03499	567_1	0.05	average	ANImf	567	SGB567
MAG03500	203_1	0.05	average	ANImf	203	SGB203
MAG03501	59_0	0.05	average	ANImf	59	SGB59
MAG03502	302_1	0.05	average	ANImf	302	SGB302
MAG03503	572_1	0.05	average	ANImf	572	SGB572
MAG03504	182_2	0.05	average	ANImf	182	SGB182
MAG03505	192_1	0.05	average	ANImf	192	SGB192
MAG03506	72_0	0.05	average	ANImf	72	SGB72
MAG03507	573_1	0.05	average	ANImf	573	SGB573
MAG03508	699_1	0.05	average	ANImf	699	SGB699
MAG03509	202_1	0.05	average	ANImf	202	SGB202
MAG03510	255_1	0.05	average	ANImf	255	SGB255
MAG03511	104_1	0.05	average	ANImf	104	SGB104
MAG03512	475_1	0.05	average	ANImf	475	SGB475
MAG03513	98_1	0.05	average	ANImf	98	SGB98
MAG03514	63_1	0.05	average	ANImf	63	SGB63
MAG03515	33_1	0.05	average	ANImf	33	SGB33
MAG03516	36_1	0.05	average	ANImf	36	SGB36
MAG03517	723_1	0.05	average	ANImf	723	SGB723
MAG03518	220_3	0.05	average	ANImf	220	SGB220
MAG03519	529_0	0.05	average	ANImf	529	SGB529
MAG03520	843_3	0.05	average	ANImf	843	SGB843
MAG03521	402_1	0.05	average	ANImf	402	SGB402
MAG03522	239_1	0.05	average	ANImf	239	SGB239
MAG03523	592_12	0.05	average	ANImf	592	SGB592
MAG03524	747_1	0.05	average	ANImf	747	SGB747
MAG03525	647_0	0.05	average	ANImf	647	SGB647
MAG03526	739_4	0.05	average	ANImf	739	SGB739
MAG03527	31_0	0.05	average	ANImf	31	SGB31
MAG03528	6_1	0.05	average	ANImf	6	SGB6
MAG03529	576_1	0.05	average	ANImf	576	SGB576
MAG03530	718_1	0.05	average	ANImf	718	SGB718
MAG03531	659_0	0.05	average	ANImf	659	SGB659
MAG03532	279_1	0.05	average	ANImf	279	SGB279
MAG03533	258_2	0.05	average	ANImf	258	SGB258
MAG03534	716_0	0.05	average	ANImf	716	SGB716
MAG03535	608_1	0.05	average	ANImf	608	SGB608
MAG03536	316_2	0.05	average	ANImf	316	SGB316
MAG03537	577_0	0.05	average	ANImf	577	SGB577
MAG03538	173_1	0.05	average	ANImf	173	SGB173
MAG03539	500_1	0.05	average	ANImf	500	SGB500
MAG03540	288_0	0.05	average	ANImf	288	SGB288
MAG03541	596_1	0.05	average	ANImf	596	SGB596
MAG03542	123_2	0.05	average	ANImf	123	SGB123
MAG03543	110_2	0.05	average	ANImf	110	SGB110
MAG03544	609_3	0.05	average	ANImf	609	SGB609
MAG03545	208_1	0.05	average	ANImf	208	SGB208
MAG03546	614_1	0.05	average	ANImf	614	SGB614
MAG03547	202_1	0.05	average	ANImf	202	SGB202
MAG03548	597_1	0.05	average	ANImf	597	SGB597
MAG03549	261_1	0.05	average	ANImf	261	SGB261
MAG03550	260_2	0.05	average	ANImf	260	SGB260
MAG03551	103_1	0.05	average	ANImf	103	SGB103
MAG03552	511_2	0.05	average	ANImf	511	SGB511
MAG03553	605_1	0.05	average	ANImf	605	SGB605
MAG03554	592_18	0.05	average	ANImf	592	SGB592
MAG03555	242_2	0.05	average	ANImf	242	SGB242
MAG03556	204_1	0.05	average	ANImf	204	SGB204
MAG03557	608_1	0.05	average	ANImf	608	SGB608
MAG03558	222_2	0.05	average	ANImf	222	SGB222
MAG03559	146_1	0.05	average	ANImf	146	SGB146
MAG03560	205_1	0.05	average	ANImf	205	SGB205
MAG03561	225_1	0.05	average	ANImf	225	SGB225
MAG03562	247_1	0.05	average	ANImf	247	SGB247
MAG03563	559_1	0.05	average	ANImf	559	SGB559
MAG03564	14_1	0.05	average	ANImf	14	SGB14
MAG03565	255_1	0.05	average	ANImf	255	SGB255
MAG03566	38_1	0.05	average	ANImf	38	SGB38
MAG03567	274_1	0.05	average	ANImf	274	SGB274
MAG03568	259_1	0.05	average	ANImf	259	SGB259
MAG03569	703_1	0.05	average	ANImf	703	SGB703
MAG03570	197_1	0.05	average	ANImf	197	SGB197
MAG03571	199_1	0.05	average	ANImf	199	SGB199
MAG03572	315_1	0.05	average	ANImf	315	SGB315
MAG03573	608_1	0.05	average	ANImf	608	SGB608
MAG03574	121_3	0.05	average	ANImf	121	SGB121
MAG03575	423_1	0.05	average	ANImf	423	SGB423
MAG03576	702_1	0.05	average	ANImf	702	SGB702
MAG03577	219_2	0.05	average	ANImf	219	SGB219
MAG03578	559_1	0.05	average	ANImf	559	SGB559
MAG03579	14_1	0.05	average	ANImf	14	SGB14
MAG03580	252_1	0.05	average	ANImf	252	SGB252
MAG03581	609_3	0.05	average	ANImf	609	SGB609
MAG03582	549_1	0.05	average	ANImf	549	SGB549
MAG03583	844_1	0.05	average	ANImf	844	SGB844
MAG03584	605_1	0.05	average	ANImf	605	SGB605
MAG03585	36_1	0.05	average	ANImf	36	SGB36
MAG03586	241_1	0.05	average	ANImf	241	SGB241
MAG03587	177_1	0.05	average	ANImf	177	SGB177
MAG03588	592_18	0.05	average	ANImf	592	SGB592
MAG03589	161_1	0.05	average	ANImf	161	SGB161
MAG03590	247_1	0.05	average	ANImf	247	SGB247
MAG03591	255_1	0.05	average	ANImf	255	SGB255
MAG03592	331_1	0.05	average	ANImf	331	SGB331
MAG03593	20_3	0.05	average	ANImf	20	SGB20
MAG03594	203_1	0.05	average	ANImf	203	SGB203
MAG03595	307_1	0.05	average	ANImf	307	SGB307
MAG03596	747_1	0.05	average	ANImf	747	SGB747
MAG03597	509_1	0.05	average	ANImf	509	SGB509
MAG03598	84_1	0.05	average	ANImf	84	SGB84
MAG03599	33_1	0.05	average	ANImf	33	SGB33
MAG03600	251_1	0.05	average	ANImf	251	SGB251
MAG03601	28_0	0.05	average	ANImf	28	SGB28
MAG03602	55_1	0.05	average	ANImf	55	SGB55
MAG03603	225_1	0.05	average	ANImf	225	SGB225
MAG03604	268_1	0.05	average	ANImf	268	SGB268
MAG03605	121_3	0.05	average	ANImf	121	SGB121
MAG03606	63_1	0.05	average	ANImf	63	SGB63
MAG03607	671_1	0.05	average	ANImf	671	SGB671
MAG03608	402_1	0.05	average	ANImf	402	SGB402
MAG03609	213_1	0.05	average	ANImf	213	SGB213
MAG03610	274_1	0.05	average	ANImf	274	SGB274
MAG03611	203_1	0.05	average	ANImf	203	SGB203
MAG03612	241_1	0.05	average	ANImf	241	SGB241
MAG03613	502_1	0.05	average	ANImf	502	SGB502
MAG03614	666_1	0.05	average	ANImf	666	SGB666
MAG03615	592_35	0.05	average	ANImf	592	SGB592
MAG03616	711_1	0.05	average	ANImf	711	SGB711
MAG03617	556_2	0.05	average	ANImf	556	SGB556
MAG03618	251_1	0.05	average	ANImf	251	SGB251
MAG03619	440_1	0.05	average	ANImf	440	SGB440
MAG03620	714_1	0.05	average	ANImf	714	SGB714
MAG03621	221_1	0.05	average	ANImf	221	SGB221
MAG03622	202_1	0.05	average	ANImf	202	SGB202
MAG03623	20_3	0.05	average	ANImf	20	SGB20
MAG03624	258_3	0.05	average	ANImf	258	SGB258
MAG03625	49_1	0.05	average	ANImf	49	SGB49
MAG03626	36_1	0.05	average	ANImf	36	SGB36
MAG03627	732_1	0.05	average	ANImf	732	SGB732
MAG03628	316_2	0.05	average	ANImf	316	SGB316
MAG03629	14_1	0.05	average	ANImf	14	SGB14
MAG03630	712_1	0.05	average	ANImf	712	SGB712
MAG03631	566_1	0.05	average	ANImf	566	SGB566
MAG03632	714_1	0.05	average	ANImf	714	SGB714
MAG03633	516_1	0.05	average	ANImf	516	SGB516
MAG03634	679_2	0.05	average	ANImf	679	SGB679
MAG03635	566_1	0.05	average	ANImf	566	SGB566
MAG03636	274_1	0.05	average	ANImf	274	SGB274
MAG03637	772_1	0.05	average	ANImf	772	SGB772
MAG03638	258_3	0.05	average	ANImf	258	SGB258
MAG03639	438_1	0.05	average	ANImf	438	SGB438
MAG03640	107_1	0.05	average	ANImf	107	SGB107
MAG03641	261_1	0.05	average	ANImf	261	SGB261
MAG03642	251_1	0.05	average	ANImf	251	SGB251
MAG03643	199_1	0.05	average	ANImf	199	SGB199
MAG03644	216_1	0.05	average	ANImf	216	SGB216
MAG03645	239_1	0.05	average	ANImf	239	SGB239
MAG03646	237_1	0.05	average	ANImf	237	SGB237
MAG03647	14_1	0.05	average	ANImf	14	SGB14
MAG03648	307_1	0.05	average	ANImf	307	SGB307
MAG03649	228_1	0.05	average	ANImf	228	SGB228
MAG03650	110_2	0.05	average	ANImf	110	SGB110
MAG03651	689_1	0.05	average	ANImf	689	SGB689
MAG03652	605_1	0.05	average	ANImf	605	SGB605
MAG03653	255_1	0.05	average	ANImf	255	SGB255
MAG03654	592_2	0.05	average	ANImf	592	SGB592
MAG03655	174_1	0.05	average	ANImf	174	SGB174
MAG03656	701_1	0.05	average	ANImf	701	SGB701
MAG03657	687_1	0.05	average	ANImf	687	SGB687
MAG03658	213_1	0.05	average	ANImf	213	SGB213
MAG03659	203_1	0.05	average	ANImf	203	SGB203
MAG03660	37_1	0.05	average	ANImf	37	SGB37
MAG03661	700_2	0.05	average	ANImf	700	SGB700
MAG03662	446_1	0.05	average	ANImf	446	SGB446
MAG03663	430_1	0.05	average	ANImf	430	SGB430
MAG03664	144_1	0.05	average	ANImf	144	SGB144
MAG03665	14_1	0.05	average	ANImf	14	SGB14
MAG03666	417_1	0.05	average	ANImf	417	SGB417
MAG03667	124_1	0.05	average	ANImf	124	SGB124
MAG03668	592_18	0.05	average	ANImf	592	SGB592
MAG03669	625_1	0.05	average	ANImf	625	SGB625
MAG03670	247_1	0.05	average	ANImf	247	SGB247
MAG03671	714_1	0.05	average	ANImf	714	SGB714
MAG03672	251_1	0.05	average	ANImf	251	SGB251
MAG03673	220_3	0.05	average	ANImf	220	SGB220
MAG03674	191_1	0.05	average	ANImf	191	SGB191
MAG03675	438_1	0.05	average	ANImf	438	SGB438
MAG03676	280_1	0.05	average	ANImf	280	SGB280
MAG03677	237_1	0.05	average	ANImf	237	SGB237
MAG03678	146_1	0.05	average	ANImf	146	SGB146
MAG03679	437_1	0.05	average	ANImf	437	SGB437
MAG03680	426_2	0.05	average	ANImf	426	SGB426
MAG03681	460_1	0.05	average	ANImf	460	SGB460
MAG03682	608_1	0.05	average	ANImf	608	SGB608
MAG03683	511_2	0.05	average	ANImf	511	SGB511
MAG03684	116_1	0.05	average	ANImf	116	SGB116
MAG03685	258_3	0.05	average	ANImf	258	SGB258
MAG03686	424_2	0.05	average	ANImf	424	SGB424
MAG03687	259_1	0.05	average	ANImf	259	SGB259
MAG03688	261_1	0.05	average	ANImf	261	SGB261
MAG03689	599_1	0.05	average	ANImf	599	SGB599
MAG03690	407_1	0.05	average	ANImf	407	SGB407
MAG03691	666_1	0.05	average	ANImf	666	SGB666
MAG03692	440_1	0.05	average	ANImf	440	SGB440
MAG03693	516_1	0.05	average	ANImf	516	SGB516
MAG03694	213_1	0.05	average	ANImf	213	SGB213
MAG03695	407_1	0.05	average	ANImf	407	SGB407
MAG03696	828_1	0.05	average	ANImf	828	SGB828
MAG03697	772_1	0.05	average	ANImf	772	SGB772
MAG03698	747_1	0.05	average	ANImf	747	SGB747
MAG03699	667_1	0.05	average	ANImf	667	SGB667
MAG03700	167_1	0.05	average	ANImf	167	SGB167
MAG03701	701_1	0.05	average	ANImf	701	SGB701
MAG03702	700_2	0.05	average	ANImf	700	SGB700
MAG03703	609_3	0.05	average	ANImf	609	SGB609
MAG03704	305_1	0.05	average	ANImf	305	SGB305
MAG03705	608_1	0.05	average	ANImf	608	SGB608
MAG03706	110_2	0.05	average	ANImf	110	SGB110
MAG03707	592_2	0.05	average	ANImf	592	SGB592
MAG03708	442_1	0.05	average	ANImf	442	SGB442
MAG03709	274_1	0.05	average	ANImf	274	SGB274
MAG03710	202_2	0.05	average	ANImf	202	SGB202
MAG03711	14_1	0.05	average	ANImf	14	SGB14
MAG03712	150_1	0.05	average	ANImf	150	SGB150
MAG03713	428_1	0.05	average	ANImf	428	SGB428
MAG03714	121_3	0.05	average	ANImf	121	SGB121
MAG03715	239_1	0.05	average	ANImf	239	SGB239
MAG03716	203_1	0.05	average	ANImf	203	SGB203
MAG03717	225_1	0.05	average	ANImf	225	SGB225
MAG03718	565_1	0.05	average	ANImf	565	SGB565
MAG03719	711_1	0.05	average	ANImf	711	SGB711
MAG03720	261_1	0.05	average	ANImf	261	SGB261
MAG03721	405_1	0.05	average	ANImf	405	SGB405
MAG03722	37_1	0.05	average	ANImf	37	SGB37
MAG03723	216_1	0.05	average	ANImf	216	SGB216
MAG03724	689_1	0.05	average	ANImf	689	SGB689
MAG03725	438_1	0.05	average	ANImf	438	SGB438
MAG03726	112_1	0.05	average	ANImf	112	SGB112
MAG03727	402_1	0.05	average	ANImf	402	SGB402
MAG03728	180_1	0.05	average	ANImf	180	SGB180
MAG03729	434_1	0.05	average	ANImf	434	SGB434
MAG03730	133_1	0.05	average	ANImf	133	SGB133
MAG03731	315_1	0.05	average	ANImf	315	SGB315
MAG03732	14_1	0.05	average	ANImf	14	SGB14
MAG03733	438_1	0.05	average	ANImf	438	SGB438
MAG03734	462_1	0.05	average	ANImf	462	SGB462
MAG03735	609_3	0.05	average	ANImf	609	SGB609
MAG03736	111_1	0.05	average	ANImf	111	SGB111
MAG03737	251_1	0.05	average	ANImf	251	SGB251
MAG03738	221_1	0.05	average	ANImf	221	SGB221
MAG03739	625_6	0.05	average	ANImf	625	SGB625
MAG03740	843_2	0.05	average	ANImf	843	SGB843
MAG03741	165_1	0.05	average	ANImf	165	SGB165
MAG03742	126_3	0.05	average	ANImf	126	SGB126
MAG03743	516_1	0.05	average	ANImf	516	SGB516
MAG03744	167_1	0.05	average	ANImf	167	SGB167
MAG03745	141_2	0.05	average	ANImf	141	SGB141
MAG03746	607_1	0.05	average	ANImf	607	SGB607
MAG03747	226_2	0.05	average	ANImf	226	SGB226
MAG03748	316_2	0.05	average	ANImf	316	SGB316
MAG03749	161_1	0.05	average	ANImf	161	SGB161
MAG03750	844_1	0.05	average	ANImf	844	SGB844
MAG03751	460_1	0.05	average	ANImf	460	SGB460
MAG03752	127_0	0.05	average	ANImf	127	SGB127
MAG03753	270_0	0.05	average	ANImf	270	SGB270
MAG03754	657_1	0.05	average	ANImf	657	SGB657
MAG03755	146_1	0.05	average	ANImf	146	SGB146
MAG03756	145_2	0.05	average	ANImf	145	SGB145
MAG03757	675_1	0.05	average	ANImf	675	SGB675
MAG03758	274_1	0.05	average	ANImf	274	SGB274
MAG03759	772_1	0.05	average	ANImf	772	SGB772
MAG03760	36_1	0.05	average	ANImf	36	SGB36
MAG03761	202_1	0.05	average	ANImf	202	SGB202
MAG03762	843_3	0.05	average	ANImf	843	SGB843
MAG03763	321_1	0.05	average	ANImf	321	SGB321
MAG03764	576_1	0.05	average	ANImf	576	SGB576
MAG03765	308_1	0.05	average	ANImf	308	SGB308
MAG03766	511_2	0.05	average	ANImf	511	SGB511
MAG03767	702_1	0.05	average	ANImf	702	SGB702
MAG03768	192_1	0.05	average	ANImf	192	SGB192
MAG03769	20_3	0.05	average	ANImf	20	SGB20
MAG03770	110_1	0.05	average	ANImf	110	SGB110
MAG03771	604_1	0.05	average	ANImf	604	SGB604
MAG03772	758_1	0.05	average	ANImf	758	SGB758
MAG03773	779_1	0.05	average	ANImf	779	SGB779
MAG03774	276_2	0.05	average	ANImf	276	SGB276
MAG03775	440_1	0.05	average	ANImf	440	SGB440
MAG03776	199_1	0.05	average	ANImf	199	SGB199
MAG03777	640_1	0.05	average	ANImf	640	SGB640
MAG03778	42_1	0.05	average	ANImf	42	SGB42
MAG03779	460_1	0.05	average	ANImf	460	SGB460
MAG03780	479_2	0.05	average	ANImf	479	SGB479
MAG03781	307_1	0.05	average	ANImf	307	SGB307
MAG03782	217_1	0.05	average	ANImf	217	SGB217
MAG03783	426_2	0.05	average	ANImf	426	SGB426
MAG03784	228_1	0.05	average	ANImf	228	SGB228
MAG03785	247_1	0.05	average	ANImf	247	SGB247
MAG03786	332_1	0.05	average	ANImf	332	SGB332
MAG03787	689_1	0.05	average	ANImf	689	SGB689
MAG03788	251_1	0.05	average	ANImf	251	SGB251
MAG03789	438_1	0.05	average	ANImf	438	SGB438
MAG03790	447_1	0.05	average	ANImf	447	SGB447
MAG03791	753_1	0.05	average	ANImf	753	SGB753
MAG03792	206_1	0.05	average	ANImf	206	SGB206
MAG03793	40_1	0.05	average	ANImf	40	SGB40
MAG03794	666_1	0.05	average	ANImf	666	SGB666
MAG03795	178_1	0.05	average	ANImf	178	SGB178
